State	Airport ID	Airport / Location	Last Reported	Vehicle Description
Colorado	KLMO	Longmont - Vance Brand / Fly Elite Aviation	7/2024	Courtesy car available
Colorado	KMVI	Monte Vista Muni - Alpine Aviation	8/2024	Courtesy car available
Colorado	KMTJ	Montrose Regional - Atlantic	8/2024	Courtesy car available
Colorado	KPSO	Pagosa Springs - Stevens Field / Blackhawk Aviation	8/2024	Courtesy car available
Colorado	7V2	Paonia - North Fork Aviation	8/2024	Courtesy transportation
Colorado	KPUB	Pueblo Memorial - Freeman Jet Center	8/2024	Courtesy car available
Colorado	KANK	Salida - Harriet Alexander Field	4/2025	Crown Vic and Dodge Caravan
Colorado	KSBS	Steamboat Springs - Bob Adams Field	8/2024	Courtesy car available
Colorado	KSTK	Sterling Muni - Crosson Field	8/2024	2 crew cars
Colorado	KTEX	Telluride Regional	8/2024	Dodge Caravan, Jeep, and Subaru
Colorado	4V1	Walsenburg - Spanish Peaks Airfield	8/2024	1 car; call ahead for key location
Colorado	C08	Westcliffe - Silver West Airport	9/2024	2 courtesy cars; first come first served
Colorado	2V5	Wray Municipal - G2G Aviation	8/2024	3 cars
Connecticut	KBDR	Bridgeport - Sikorsky Memorial / Three Wings & Atlantic	8/2025	Courtesy transportation
Connecticut	KDXR	Danbury Municipal - Business Aircraft Center / Reliant Air / Executive Air	8/2025	Cars at multiple FBOs
Connecticut	KGON	Groton - New London / Modern Jet Center	8/2025	Courtesy car available
Connecticut	KHFD	Hartford - Brainard / Hartford Jet Center	8/2025	Cars available
Connecticut	KHVN	New Haven - Tweed / Robinson Aviation	8/2025	Courtesy car available
Connecticut	KBDL	Windsor Locks - Bradley International / Signature & Atlantic	8/2025	Cars at multiple FBOs
Delaware	KEVY	Middleton - Summit Airport	8/2024	Courtesy car available
Florida	KAAF	Apalachicola - Randolph Field / Centric Aviation	4/2025	Nissan Altima; 2 hrs/15 miles
Florida	X06	Arcadia Municipal	2/2025	Low fuel prices; camping available
Florida	KBCT	Boca Raton - Signature & Atlantic	8/2024	Cars at multiple FBOs
Florida	KCLW	Clearwater Air Park	4/2025	Courtesy car available
Florida	2IS	Clewiston - Airglades Airport	8/2024	Courtesy car available
Florida	KCEW	Crestview - Sikes / Emerald Coast	4/2025	Courtesy car available
Florida	KCTY	Cross City - Dixie Aviation Services	4/2025	Courtesy car available
Florida	KDAB	Daytona Beach Intl - Yelvington / ATP Jet / Sheltair	8/2024	Cars at multiple FBOs
Florida	54J	DeFuniak Springs - Crown Vic available	8/2024	Crown Vic
Florida	KDTS	Destin - Ft Walton Beach / Atlantic	8/2024	Courtesy car available
Florida	KFXE	Ft Lauderdale Exec - W Aviation / Banyan / Executive Jet	8/2024	Cars at multiple FBOs
Florida	KFLL	Ft Lauderdale - Hollywood Intl / Jetscape / Sheltair / Signature	8/2024	Cars at multiple FBOs
Florida	KFMY	Ft. Myers - Page Field / Base Operations	8/2024	2 cars at Hertz counter
Florida	KFPR	Ft Pierce - St Lucie Co / App Jet	8/2024	Courtesy car available
Florida	KGNV	Gainesville Regional - University Air Center	8/2024	Courtesy car available
Florida	KHWO	Hollywood - North Perry Fuel Depot & Central FBO	8/2024	Cars at multiple FBOs
Florida	KIMM	Immokalee Regional	8/2024	Courtesy car available
Florida	KCRG	Jacksonville Exec - Sky Harbor & Executive Jet Center	8/2024	Cars at multiple FBOs
Florida	KJAX	Jacksonville Intl - Signature & SheltAir	8/2024	Courtesy transportation
Florida	KHEG	Jacksonville - Herlong / First Coast Flight Center	8/2024	Courtesy car available
Florida	KLCQ	Lake City Gateway - Ford Transit	8/2024	Ford Transit
Florida	KLAL	Lakeland Linder - Sheltair & AeroCenter	8/2024	Cars at multiple FBOs
Florida	KMTH	Marathon - Florida Keys / Million Air	8/2024	Courtesy car available
Florida	KMKY	Marco Island Executive	4/2025	Car available
Florida	KMAI	Marianna Municipal	8/2024	Courtesy car available
Florida	KMIA	Miami Intl - Signature	8/2024	Courtesy car available
Florida	KOPF	Miami Opa-Locka Exec - Fontainebleau / Atlantic / Signature / Embassair	8/2024	Cars at multiple FBOs
Florida	KTMB	Miami - Kendall-Tamiami Exec / IFC & Reliance Aviation	8/2024	Cars at multiple FBOs
Florida	KAPF	Naples - Naples Aviation & Naples Jet Center	8/2024	7 courtesy cars; 1.5â2 hours
Florida	KOCF	Ocala International - Sheltair	8/2024	Nice car; 2-hour use
Florida	KORL	Orlando Executive - Sheltair & Atlantic	8/2024	Cars at both FBOs
Florida	KMLB	Orlando - Melbourne Intl / Sheltair	8/2024	Courtesy car available
Florida	KISM	Orlando - Kissimmee Gateway / Signature & Odyssey	8/2024	Cars at multiple FBOs
Florida	KECP	Panama City - NW Florida Beaches / Southern Sky Aviation	1/2025	Jeep available; also SheltAir has cars
Florida	KPNS	Pensacola Intl - Innisfree Jet & Pensacola Aviation	8/2024	Cars at multiple FBOs
Florida	KFPY	Perry-Foley Airport	8/2024	Van available
Florida	KPMP	Pompano Beach Airpark - Sheltair	8/2024	Courtesy car available
Florida	2J9	Quincy Municipal	4/2025	Crew car; airport attended 8-4 M-F
Florida	KSRQ	Sarasota Bradenton - Dolphin Aviation	8/2024	Van and Corolla; 1-hour limit each
Florida	KSEF	Sebring Regional - Volo Aviation	1/2026	Courtesy car available
Georgia	KABY	Albany - SW Georgia Regional / Eagles of America	8/2024	Courtesy car available
Georgia	KAMG	Alma - Bacon County	8/2024	Courtesy car available; camping on airport
Georgia	KACJ	Americus - Jimmy Carter Regional / Southern Field Aviation	4/2025	2 cars available
Georgia	KAHN	Athens / Ben Epps - Athens Flight Center	8/2024	Courtesy car available
Georgia	KPDK	Atlanta Dekalb-Peachtree - Aero Center & Atlantic	8/2024	Cars at multiple FBOs
Georgia	KFTY	Atlanta Fulton Co. Brown Field - Hill Aircraft	8/2024	3 crew cars; free up to 2 hrs
Georgia	KAGS	Augusta Bush Field	8/2024	3 cars available
Georgia	KDNL	Augusta Daniel Field - Augusta Aviation	8/2024	Courtesy car available
Georgia	KBGE	Bainbridge - Decatur County Industrial Air Park	8/2024	2 cars; overnight OK
Georgia	KBHC	Baxley Municipal	8/2024	Ford passenger van
Georgia	KSSI	Brunswick - McKinnon St Simons Island / Odyssey Aviation	8/2024	3 crew cars including Toyota van
Georgia	KCZL	Calhoun - Davis Field	1/2024	2 cars available
Georgia	18A	Canon - Franklin County Airport	8/2024	Car available; often unattended
